values	samples	distances
0.5201660196754379	Nut.0h	-500kb
0.5323219032212689	Nut.0h	-450kb
0.5328693986574775	Nut.0h	-400kb
0.5255442716922692	Nut.0h	-350kb
0.5149770259340093	Nut.0h	-300kb
0.5050406524245304	Nut.0h	-250kb
0.4886905360731682	Nut.0h	-200kb
0.46460652323311236	Nut.0h	-150kb
0.42821170352272087	Nut.0h	-100kb
0.3840739000792947	Nut.0h	-50kb
0.3761350312637499	Nut.0h	0kb
0.41039388583288783	Nut.0h	50kb
0.4476375473759205	Nut.0h	100kb
0.47430998415847647	Nut.0h	150kb
0.49284055775208	Nut.0h	200kb
0.5077664141378702	Nut.0h	250kb
0.5188210589555887	Nut.0h	300kb
0.5281749536851825	Nut.0h	350kb
0.5340342109257841	Nut.0h	400kb
0.5240285548274434	Nut.0h	450kb
0.5151575809936643	Nut.0h	500kb
0.5359890107929743	Nut.1h	-500kb
0.5481259418793929	Nut.1h	-450kb
0.5476684079613513	Nut.1h	-400kb
0.5378957637603745	Nut.1h	-350kb
0.524416144396796	Nut.1h	-300kb
0.5048562880805177	Nut.1h	-250kb
0.4833969275643123	Nut.1h	-200kb
0.453667147749743	Nut.1h	-150kb
0.4133588334251201	Nut.1h	-100kb
0.37020246300228465	Nut.1h	-50kb
0.3621444038176732	Nut.1h	0kb
0.39229122982533393	Nut.1h	50kb
0.432981257316504	Nut.1h	100kb
0.4674939957916781	Nut.1h	150kb
0.4930529525901699	Nut.1h	200kb
0.5118238429142685	Nut.1h	250kb
0.52844014733059	Nut.1h	300kb
0.5401058972102282	Nut.1h	350kb
0.5470307310255831	Nut.1h	400kb
0.540693267437987	Nut.1h	450kb
0.5312036921386692	Nut.1h	500kb
0.5397176788987216	Nut.4h	-500kb
0.5536702087633734	Nut.4h	-450kb
0.550985468258727	Nut.4h	-400kb
0.5435270572360972	Nut.4h	-350kb
0.5268527114093732	Nut.4h	-300kb
0.5059670442893347	Nut.4h	-250kb
0.48267418810226503	Nut.4h	-200kb
0.45062658430051133	Nut.4h	-150kb
0.41072393094539505	Nut.4h	-100kb
0.36685340478168366	Nut.4h	-50kb
0.35711197671414924	Nut.4h	0kb
0.3872249415862494	Nut.4h	50kb
0.4319988104432838	Nut.4h	100kb
0.46751022309893486	Nut.4h	150kb
0.49274563836512203	Nut.4h	200kb
0.5136614065735774	Nut.4h	250kb
0.5300371990406811	Nut.4h	300kb
0.5422226979494562	Nut.4h	350kb
0.548109097189349	Nut.4h	400kb
0.5423614370527526	Nut.4h	450kb
0.5351010157624387	Nut.4h	500kb
0.5396714341390685	Nut.7h	-500kb
0.552402022346816	Nut.7h	-450kb
0.5515279377169205	Nut.7h	-400kb
0.5423475900334408	Nut.7h	-350kb
0.5271337830233349	Nut.7h	-300kb
0.5073111417305115	Nut.7h	-250kb
0.48302050559763887	Nut.7h	-200kb
0.4512633551984606	Nut.7h	-150kb
0.40765775726981857	Nut.7h	-100kb
0.3620545339860261	Nut.7h	-50kb
0.352762864814208	Nut.7h	0kb
0.38409198687954405	Nut.7h	50kb
0.42767250924443756	Nut.7h	100kb
0.4655300386166659	Nut.7h	150kb
0.493122463632957	Nut.7h	200kb
0.5132290829610442	Nut.7h	250kb
0.5305330053892965	Nut.7h	300kb
0.544528931089942	Nut.7h	350kb
0.5507736150804252	Nut.7h	400kb
0.5453024780317813	Nut.7h	450kb
0.5366836349321455	Nut.7h	500kb
0.5258506178826599	Nut.10h	-500kb
0.5404492352029936	Nut.10h	-450kb
0.5427392592613932	Nut.10h	-400kb
0.5328167999117054	Nut.10h	-350kb
0.5210633887753293	Nut.10h	-300kb
0.5017508020554405	Nut.10h	-250kb
0.4772886422456273	Nut.10h	-200kb
0.44623054973189746	Nut.10h	-150kb
0.403636601720395	Nut.10h	-100kb
0.35180593210433125	Nut.10h	-50kb
0.3415583656411345	Nut.10h	0kb
0.3782617773004187	Nut.10h	50kb
0.42749502808511614	Nut.10h	100kb
0.4614553532851445	Nut.10h	150kb
0.4854726497015791	Nut.10h	200kb
0.5068694691552833	Nut.10h	250kb
0.5234336980961334	Nut.10h	300kb
0.5344501110784421	Nut.10h	350kb
0.540916164764137	Nut.10h	400kb
0.5290727270499176	Nut.10h	450kb
0.5225343891843247	Nut.10h	500kb
0.5397964879737378	Nut.24h	-500kb
0.5563610562593675	Nut.24h	-450kb
0.550688214391541	Nut.24h	-400kb
0.5394498930405635	Nut.24h	-350kb
0.5260447378774451	Nut.24h	-300kb
0.506306670305709	Nut.24h	-250kb
0.4760315548863274	Nut.24h	-200kb
0.4428919328209585	Nut.24h	-150kb
0.39039900023165874	Nut.24h	-100kb
0.33901449229552816	Nut.24h	-50kb
0.3325655285240704	Nut.24h	0kb
0.3738130303111106	Nut.24h	50kb
0.42059853944670894	Nut.24h	100kb
0.45802458214204717	Nut.24h	150kb
0.4843099912854122	Nut.24h	200kb
0.5082735773785454	Nut.24h	250kb
0.524174953834535	Nut.24h	300kb
0.5379832150719401	Nut.24h	350kb
0.5489719055713852	Nut.24h	400kb
0.5463167023962426	Nut.24h	450kb
0.5359101298258319	Nut.24h	500kb
