Chromosome	TADborder	Nut.0h	Nut.1h	Nut.4h	Nut.7h	Nut.10h	Nut.24h	Category_tads	state_tads	Nut.0h_VS_Nut.1h	Nut.1h_VS_Nut.4h	Nut.4h_VS_Nut.7h	Nut.7h_VS_Nut.10h	Nut.10h_VS_Nut.24h	IS_Nut.0h	IS_Nut.1h	IS_Nut.4h	IS_Nut.7h	IS_Nut.10h	IS_Nut.24h	sigmoid_IS_Nut.0h	sigmoid_IS_Nut.1h	sigmoid_IS_Nut.4h	sigmoid_IS_Nut.7h	sigmoid_IS_Nut.10h	sigmoid_IS_Nut.24h
1	100200000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.9805	-0.9421	-0.9605	-0.9732	-1.2998	-1.2307	0.27279258399643114	0.2804763476092048	0.2767780977145861	0.2742431340253949	0.21419867855415534	0.22605893284225811
1	100950000	10	10	10	10	10	7	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.0537	0.0484	-0.0068	-0.0986	-0.2005	-0.0039	0.48657822519814353	0.5120976384718673	0.49830000655063633	0.47536995112998237	0.4500422474873525	0.4990250012358106
1	101350000	10	10	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.1239	-0.099	-0.0601	0.044	-0.0597	0.2465	0.4690645645755116	0.47527019476983695	0.4849795209045727	0.5109982256768415	0.4850794312576041	0.5613148449641978
1	101823437	8	7	10	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.0965	-1.234	-1.247	-1.2471	-1.22	-1.1793	0.25039626323351893	0.2254820990639645	0.22321988517324703	0.22320254637636122	0.22793645057321624	0.2351780814410975
1	103800000	10	10	8	6	0	0	TAD-TAD-TAD-TAD-NoTAD-NoTAD	Variable	Maintained	Maintained	Maintained	Lost	NoTAD	0.1503	-0.0726	-0.0865	-0.0016	NA	NA	0.5375044242077509	0.481857967824877	0.47838847355685854	0.4996000000853333	NA	NA
1	104162500	10	10	8	7	7	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-1.4952	-1.5498	-1.6967	-1.7315	-1.6346	-2.3465	0.1831425183556734	0.17511515625454385	0.15489675567039785	0.15039581384902104	0.1632011814038764	0.08734437344246365
1	10550000	10	10	10	10	7	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.4248	-0.518	-0.4049	-0.5649	-0.7728	-3.2799	0.39536872474460605	0.37332001937773046	0.40013563360711507	0.3624144540818963	0.3158737215129296	0.03626721140264749
1	108300000	10	10	10	10	10	9	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.4482	-0.5325	-0.5568	-0.5516	-0.6543	-0.3206	0.3897888173097183	0.36993399171498176	0.3642882007831369	0.3654932764905388	0.34202119741556264	0.42052953021698714
1	108700000	10	10	10	10	10	4	TAD-TAD-TAD-TAD-TAD-NoTAD	Variable	Maintained	Maintained	Maintained	Maintained	Lost	-0.3055	-0.4619	-0.1186	-0.0799	0.0569	NA	0.42421351612755503	0.3865351879475151	0.4703847058265738	0.480035619936919	0.5142211633253067	NA
1	109250000	7	6	7	10	10	10	TAD-TAD-TAD-TAD-TAD-TAD	Invariant	Invariant	Invariant	Invariant	Invariant	Invariant	-0.211	-0.553	-0.3282	-0.3124	-0.3794	-0.4735	0.4474448394968623	0.36516866655280217	0.41867865523144515	0.4225290344500912	0.4062716179170802	0.38378817580298213
