ensembl_gene_id	HCT116_Nut0h_1	HCT116_Nut0h_2	HCT116_Nut10h_1	HCT116_Nut10h_2	HCT116_Nut1h_1	HCT116_Nut1h_2
ENSG00000000003	666	707	919	1035	1079	843
ENSG00000000005	0	0	0	0	0	0
ENSG00000000419	1254	1258	1042	1157	2443	1980
ENSG00000000457	317	432	413	469	356	302
ENSG00000000460	440	548	268	350	556	464
ENSG00000000938	0	2	2	3	0	0
ENSG00000000971	3	3	0	0	0	0
ENSG00000001036	3063	3076	2866	2747	2400	2016
ENSG00000001084	1847	2073	1837	2103	2837	2277
ENSG00000001167	1037	1106	975	1062	1680	1384
ENSG00000001460	517	480	571	646	329	251
ENSG00000001461	582	658	1266	1307	637	517
ENSG00000001497	2857	2756	2149	1946	2875	2541
ENSG00000001561	476	558	641	734	1096	846
ENSG00000001617	1539	1409	2632	2340	555	437
ENSG00000001626	5	2	2	9	3	5
ENSG00000001629	982	1161	1225	1349	1418	1060
ENSG00000001630	383	422	383	328	191	165
ENSG00000001631	728	827	667	968	1083	884
ENSG00000002016	539	641	736	758	643	505
ENSG00000002079	94	87	363	314	139	123
ENSG00000002330	1314	1093	888	669	364	357
ENSG00000002549	2355	2588	2443	2369	2758	2385
ENSG00000002586	2224	1993	2226	2198	1344	1048
ENSG00000002587	7290	7343	8333	7395	2979	2511
ENSG00000002726	11	9	4	4	3	3
ENSG00000002745	1703	1816	1962	2064	1225	877
ENSG00000002746	142	116	249	244	118	76
ENSG00000002822	1761	1545	1544	1318	855	751
ENSG00000002834	16202	14856	14926	15484	8801	7483
ENSG00000002919	819	870	944	1016	787	697
ENSG00000002933	2	0	0	0	0	0
ENSG00000003056	2586	2697	2541	2726	3424	2934
ENSG00000003096	127	170	131	143	199	184
ENSG00000003137	900	888	753	742	456	374
ENSG00000003147	279	320	436	429	362	246
ENSG00000003249	5491	4528	6203	5471	1724	1539
ENSG00000003393	1026	1230	1114	1250	1711	1421
ENSG00000003400	84	89	153	141	138	111
ENSG00000003402	836	979	1626	1855	1204	921
ENSG00000003436	360	422	396	517	557	434
ENSG00000003509	443	438	444	574	671	574
ENSG00000003756	1553	1709	1722	1822	1834	1409
ENSG00000003987	16	19	11	11	45	28
ENSG00000003989	513	531	323	410	776	571
ENSG00000004059	7267	6575	6616	5932	2983	2697
ENSG00000004139	6	13	10	11	4	1
ENSG00000004142	6174	6052	5491	5241	3607	3158
ENSG00000004399	3369	3185	2954	2445	1409	1302
ENSG00000004455	8426	8461	7783	7649	7181	6172
ENSG00000004468	0	0	2	1	0	3
ENSG00000004478	16754	15260	11846	11344	11339	9734
ENSG00000004487	8822	8886	6352	6503	8828	7656
ENSG00000004534	2346	2318	1964	2139	3051	2600
ENSG00000004660	810	791	608	602	476	406
ENSG00000004700	682	615	495	503	1178	1003
ENSG00000004766	382	377	345	442	593	555
ENSG00000004776	8	12	6	8	1	0
ENSG00000004777	1413	1359	735	613	620	426
ENSG00000004779	3358	3247	3001	2770	2833	2450
ENSG00000004799	43	60	95	94	29	36
ENSG00000004809	0	2	0	0	0	1
ENSG00000004838	71	60	36	44	34	17
ENSG00000004846	0	0	0	1	0	0
ENSG00000004848	67	57	107	108	12	5
ENSG00000004864	494	574	407	581	692	480
ENSG00000004866	518	518	392	514	507	433
ENSG00000004897	4618	5360	3352	4042	7938	6044
ENSG00000004939	0	2	0	0	0	0
ENSG00000004948	11	9	13	13	12	8
ENSG00000004961	1082	1017	915	959	1234	1053
ENSG00000004975	3864	3676	2868	2771	2354	1873
ENSG00000005001	342	325	413	370	168	151
ENSG00000005007	10097	9540	7874	7540	5971	5370
ENSG00000005020	883	931	1007	1353	1394	1005
ENSG00000005022	14445	15751	16591	16418	11993	10025
ENSG00000005059	591	593	376	385	647	586
ENSG00000005073	289	321	304	311	201	152
ENSG00000005075	2392	2079	1981	1644	1086	968
ENSG00000005100	2400	2798	2482	2749	3120	2585
ENSG00000005102	3	12	2	1	5	5
ENSG00000005108	0	1	1	4	1	2
ENSG00000005156	1589	1689	1691	1671	1377	1199
ENSG00000005175	1268	1264	1088	1180	1936	1548
ENSG00000005187	152	147	108	130	176	119
ENSG00000005189	280	295	185	179	303	255
ENSG00000005194	2336	2319	2119	2216	1816	1462
ENSG00000005206	2584	2698	2773	2401	1307	979
ENSG00000005238	822	825	1145	1065	298	230
ENSG00000005243	0	0	3	1	0	0
ENSG00000005249	686	755	380	402	965	667
ENSG00000005302	312	367	350	427	355	299
ENSG00000005339	4648	4701	4612	4492	4203	3372
ENSG00000005379	2	1	4	16	2	2
ENSG00000005381	0	0	0	0	0	0
ENSG00000005421	1	1	1	0	1	1
ENSG00000005436	427	476	489	496	707	579
ENSG00000005448	1348	1318	1147	1055	671	583
ENSG00000005469	1	0	1	0	0	0
ENSG00000005471	1	0	0	0	0	1
ENSG00000005483	1619	1840	1510	1820	2096	1757
ENSG00000005486	3337	2497	2488	2216	1117	1028
ENSG00000005513	246	195	158	139	83	72
ENSG00000005700	1250	1548	1560	1838	2966	2158
ENSG00000005801	637	705	1092	1311	1367	958
ENSG00000005810	1402	2092	1607	2122	3467	2267
ENSG00000005812	802	935	660	849	1515	1195
ENSG00000005844	2	1	3	5	1	2
ENSG00000005882	1540	1485	1455	1347	654	555
ENSG00000005884	25053	23239	47509	42324	12372	10370
ENSG00000005889	613	768	699	849	1687	1288
ENSG00000005893	1387	1684	1305	1667	2992	2163
ENSG00000005955	1624	1742	1337	1570	2829	2303
ENSG00000005961	111	94	82	76	59	31
ENSG00000005981	3	4	4	4	3	1
ENSG00000006007	2113	2109	2132	1982	2126	1749
ENSG00000006015	2659	2208	2901	2134	816	769
ENSG00000006016	2094	1717	2154	1558	595	517
ENSG00000006025	1353	1328	1740	1634	583	470
ENSG00000006042	841	896	783	772	561	464
ENSG00000006047	67	51	31	46	33	33
ENSG00000006059	0	0	1	0	0	0
ENSG00000006062	1098	1132	1161	1049	1391	1079
ENSG00000006071	0	3	2	1	0	1
ENSG00000006074	0	0	0	0	0	0
ENSG00000006075	0	0	0	0	0	0
ENSG00000006114	1227	1360	1357	1567	1376	1125
ENSG00000006116	0	0	0	0	0	0
ENSG00000006118	7510	6194	7318	5846	2524	2069
ENSG00000006125	10322	11418	11551	12916	13272	10246
ENSG00000006128	0	0	0	0	0	0
ENSG00000006194	1607	1470	1295	1246	1375	1137
ENSG00000006210	0	1	0	1	0	1
ENSG00000006282	2855	3140	4239	3822	1564	1276
ENSG00000006283	252	261	210	175	127	75
ENSG00000006327	8410	7146	8294	7061	4858	4322
ENSG00000006377	0	0	0	0	0	0
ENSG00000006432	1114	1260	1438	1596	1154	865
ENSG00000006451	1240	1324	1300	1549	1879	1547
ENSG00000006453	3979	3925	4571	4303	2478	2081
ENSG00000006459	228	300	347	501	550	361
ENSG00000006468	653	689	440	520	813	646
ENSG00000006530	1101	1224	1312	1420	1303	993
ENSG00000006534	1185	1058	1313	1055	406	324
ENSG00000006555	23	37	37	27	21	11
ENSG00000006576	1016	1219	768	833	2028	1585
ENSG00000006606	3	10	5	4	2	6
ENSG00000006607	1345	1645	1120	1368	2067	1597
ENSG00000006611	389	383	641	546	222	169
ENSG00000006625	1129	1060	839	899	2106	1625
ENSG00000006634	1800	1866	639	737	2559	1998
ENSG00000006638	355	275	270	226	101	94
ENSG00000006652	514	581	462	542	942	734
ENSG00000006659	0	0	0	0	0	0
ENSG00000006695	1514	1473	1605	1654	939	827
ENSG00000006704	1850	1689	1119	1045	993	816
ENSG00000006712	3927	3689	3073	2836	3026	2880
ENSG00000006715	1092	1273	1339	1687	2022	1425
ENSG00000006740	373	361	348	384	279	222
ENSG00000006744	9340	9025	7946	7338	5535	4960
ENSG00000006747	0	0	0	0	2	0
ENSG00000006756	208	206	338	332	187	123
ENSG00000006757	408	461	482	483	316	262
ENSG00000006788	1	0	0	0	0	0
ENSG00000006831	3749	3944	2853	3207	4798	4011
ENSG00000006837	13	24	19	24	33	22
ENSG00000007001	1	0	2	0	0	0
ENSG00000007038	0	0	0	0	1	0
ENSG00000007047	2752	2171	3041	2591	1070	896
ENSG00000007062	608	801	705	863	1008	863
ENSG00000007080	9512	7736	7963	6391	3854	3673
ENSG00000007129	2	0	2	1	0	1
ENSG00000007168	4036	4125	2997	3425	5413	4256
ENSG00000007171	1	4	0	4	4	2
ENSG00000007174	0	1	0	0	2	0
ENSG00000007202	5838	6573	5379	5556	5779	4683
ENSG00000007216	1	0	0	0	1	0
ENSG00000007237	103	131	289	294	88	60
ENSG00000007255	176	143	196	166	66	64
ENSG00000007264	0	0	0	7	0	0
ENSG00000007306	2	0	0	0	0	0
ENSG00000007312	3	7	26	27	1	3
ENSG00000007314	35	33	21	22	10	8
ENSG00000007341	190	189	213	194	322	270
ENSG00000007350	2	3	0	2	3	1
ENSG00000007372	140	155	93	90	145	112
ENSG00000007376	7295	5871	4769	3997	1618	1595
ENSG00000007384	702	829	1111	963	249	238
ENSG00000007392	1062	1008	905	824	1059	851
ENSG00000007402	805	794	632	590	460	388
ENSG00000007516	1475	1569	1569	1331	622	492
ENSG00000007520	3382	2633	2588	2003	916	768
ENSG00000007541	1177	1131	1088	974	373	294
ENSG00000007545	796	747	800	827	670	552
ENSG00000007866	1950	1668	2250	2266	929	766
ENSG00000007908	0	0	0	0	0	0
ENSG00000007923	2492	2761	2328	2335	2552	2340
ENSG00000007933	0	0	0	0	0	0
ENSG00000007944	193	191	179	205	363	278
ENSG00000007952	18	15	15	12	45	32
ENSG00000007968	2437	2486	416	336	2079	1737
ENSG00000008018	6475	6856	6637	7075	7537	6421
ENSG00000008056	58	40	38	56	10	11
ENSG00000008083	1189	1260	1737	1813	1333	1102
ENSG00000008086	27	53	53	71	63	36
ENSG00000008118	0	0	1	0	0	0
ENSG00000008128	147	176	133	152	54	57
ENSG00000008130	3583	3395	2815	2592	1970	1537
ENSG00000008196	0	0	0	0	0	0
ENSG00000008197	0	0	0	0	0	0
ENSG00000008226	5	9	3	6	2	1
ENSG00000008256	1508	1623	1609	1512	1135	886
ENSG00000008277	385	464	316	461	739	527
