Chromosome	start	id	Nut.0h	Nut.1h	Nut.4h	Nut.7h	Nut.10h	Nut.24h
1	875000	1	0	475000	475000	475000	0	0
1	1350000	2	0	1000000	218750	218750	0	0
1	1568750	3	281250	0	281250	281250	1031250	0
1	1850000	4	750000	0	225000	225000	0	0
1	2075000	5	0	0	525000	275000	0	0
1	2350000	6	0	250000	0	250000	0	0
1	2600000	7	775000	775000	775000	775000	775000	0
1	3375000	8	396875	396875	396875	396875	396875	0
1	3771875	9	2276562	1928125	2276562	2276562	2276562	2276562
1	5700000	10	0	348437	0	0	0	0
1	6048437	11	651563	651563	651563	651563	651563	1976563
1	6300000	12	0	0	0	0	0	0
1	6700000	13	1043750	1043750	1043750	1043750	1043750	0
1	7743750	14	281250	281250	281250	281250	281250	0
1	8025000	15	400000	400000	400000	400000	400000	400000
1	8425000	16	518750	518750	518750	518750	518750	518750
1	8943750	17	706250	706250	706250	706250	706250	706250
1	9650000	18	300000	900000	900000	900000	300000	900000
1	9950000	19	600000	0	0	0	600000	0
1	10550000	20	500000	500000	500000	500000	500000	1403125
1	11050000	21	903125	903125	903125	903125	903125	0
1	11953125	22	346875	346875	346875	346875	346875	621875
1	12300000	23	275000	550000	550000	550000	550000	0
1	12575000	24	275000	0	0	0	0	3075000
1	12850000	25	1450000	975000	975000	975000	975000	0
1	13825000	26	0	225000	475000	475000	2025000	0
1	14050000	27	0	250000	0	0	0	0
1	14300000	28	1150000	1150000	1150000	1150000	0	0
1	15450000	29	400000	400000	400000	400000	0	0
1	15650000	30	0	0	0	0	0	1164062
1	15850000	31	250000	964062	964062	964062	250000	0
1	16100000	32	250000	0	0	0	250000	0
1	16350000	33	250000	0	0	0	250000	0
1	16600000	34	214062	0	0	0	214062	0
1	16814062	35	435938	435938	435938	435938	435938	435938
1	17250000	36	500000	701562	701562	701562	701562	701562
1	17750000	37	201562	0	0	0	0	0
1	17951562	38	1248438	1248438	1248438	1248438	1248438	1248438
1	19200000	39	381250	381250	809375	381250	381250	381250
1	19581250	40	428125	428125	0	428125	428125	428125
1	20009375	41	835937	835937	835937	835937	835937	835937
1	20845312	42	275000	275000	275000	275000	275000	275000
1	21120312	43	404688	404688	404688	404688	404688	404688
1	21525000	44	489062	489062	489062	489062	489062	489062
1	22014062	45	345313	345313	345313	345313	345313	560938
1	22359375	46	640625	940625	940625	940625	640625	0
1	22575000	47	0	0	0	0	0	725000
1	23000000	48	300000	0	0	0	300000	0
1	23300000	49	404687	404687	404687	404687	404687	404687
1	23704687	50	343750	343750	343750	343750	343750	343750
1	24048437	51	551563	273438	273438	273438	273438	551563
1	24321875	52	0	864062	864062	864062	278125	0
1	24600000	53	250000	0	0	0	250000	950000
1	24850000	54	335937	0	0	0	335937	0
1	25185937	55	364063	364063	364063	364063	364063	0
1	25550000	56	600000	600000	600000	600000	600000	600000
1	26150000	57	250000	250000	650000	650000	250000	250000
1	26400000	58	400000	400000	0	0	850000	400000
1	26800000	59	450000	450000	450000	450000	0	450000
1	27250000	60	450000	725000	725000	725000	450000	725000
1	27700000	61	275000	0	0	0	275000	0
1	27975000	62	575000	1562500	1562500	1562500	275000	1562500
1	28250000	63	0	0	0	0	300000	0
1	28550000	64	400000	0	0	0	400000	0
1	28750000	65	0	0	0	0	0	0
1	28950000	66	300000	0	0	0	300000	0
1	29100000	67	0	0	0	0	0	0
1	29250000	68	287500	0	0	0	287500	0
1	29537500	69	1662500	1662500	1662500	1662500	1662500	1662500
1	31200000	70	250000	250000	250000	250000	250000	250000
1	31450000	71	600000	2076562	2076562	1356250	1356250	1200000
1	32050000	72	756250	0	0	0	0	0
1	32650000	73	0	0	0	0	0	876562
1	32806250	74	543750	0	0	720312	720312	0
1	33350000	75	176562	0	0	0	0	0
1	33526562	76	323438	573438	573438	573438	573438	573438
1	33850000	77	250000	0	0	0	0	0
1	34100000	78	1175000	1175000	1175000	1175000	1175000	1175000
1	35275000	79	975000	1275000	1275000	1275000	1275000	1275000
1	36250000	80	300000	0	0	0	0	0
1	36550000	81	400000	400000	400000	400000	400000	400000
1	36950000	82	993750	993750	993750	993750	993750	993750
1	37943750	83	543750	543750	543750	543750	543750	543750
1	38487500	84	812500	812500	812500	812500	812500	812500
1	39300000	85	250000	950000	950000	950000	250000	1200000
1	39550000	86	500000	0	0	0	500000	0
1	40050000	87	450000	0	0	0	450000	0
1	40250000	88	0	250000	250000	250000	0	0
1	40500000	89	400000	512500	512500	512500	400000	512500
1	40900000	90	598437	0	0	0	598437	0
1	41012500	91	0	485937	485937	485937	0	485937
1	41498437	92	239063	239063	482813	1734375	239063	1734375
1	41737500	93	243750	243750	0	0	243750	0
1	41981250	94	668750	668750	668750	0	668750	0
1	42650000	95	582812	582812	582812	0	582812	0
1	43232812	96	217188	418750	418750	418750	418750	418750
1	43450000	97	201562	0	0	0	0	0
1	43651562	98	273438	823438	823438	823438	823438	273438
1	43925000	99	275000	0	0	0	0	550000
1	44200000	100	275000	0	0	0	0	0
1	44475000	101	725000	725000	725000	725000	725000	725000
1	45200000	102	1500000	1650000	1500000	1650000	1500000	800000
1	46000000	103	0	0	0	0	0	700000
1	46700000	104	500000	0	500000	0	500000	500000
1	46850000	105	0	1671875	0	1671875	0	0
1	47200000	106	450000	0	450000	0	450000	450000
1	47650000	107	250000	0	250000	0	250000	550000
1	47900000	108	300000	0	300000	0	300000	0
