Chromosome	TADborder	p53_inactive	p53_active_1h	p53_active_4h	p53_active_7h	p53_active_10h	p53_active_24h	individual_TADstate.p53_inactive	individual_TADstate.p53_active_1h	individual_TADstate.p53_active_4h	individual_TADstate.p53_active_7h	individual_TADstate.p53_active_10h	individual_TADstate.p53_active_24h	Category_tads
1	chr2	   150000	10	10	10	10	10	10	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
2	chr5	   150000	 5	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
3	chr7	   193750	 7	 7	 5	 8	 0	 0	TAD	TAD	TAD	TAD	NoTAD	NoTAD	TAD-TAD-TAD-TAD-NoTAD-NoTAD
4	chr3	   250000	 0	 0	 0	 0	 0	 6	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD	NoTAD-NoTAD-NoTAD-NoTAD-NoTAD-TAD
5	chr10	   251562	 5	 6	 5	 5	 6	 7	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
6	chr20	   256250	 5	 6	 6	 6	 5	 0	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
7	chr9	   278125	 6	 4	 5	 5	 5	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
8	chr17	   293750	 7	 3	 6	 9	 7	 0	TAD	NoTAD	TAD	TAD	TAD	NoTAD	TAD-NoTAD-TAD-TAD-TAD-NoTAD
9	chr6	   300000	 8	10	 6	 6	 8	 8	TAD	TAD	TAD	TAD	TAD	TAD	TAD-TAD-TAD-TAD-TAD-TAD
10	chr12	   325000	 3	 5	 5	 3	 5	 0	NoTAD	TAD	TAD	NoTAD	TAD	NoTAD	NoTAD-TAD-TAD-NoTAD-TAD-NoTAD
11	chr8	   345312	 6	 5	 6	 5	 5	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
12	chr18	   350000	10	 6	 6	 6	10	 4	TAD	TAD	TAD	TAD	TAD	NoTAD	TAD-TAD-TAD-TAD-TAD-NoTAD
13	chr3	   381250	 5	 4	 4	 5	 6	 0	TAD	NoTAD	NoTAD	TAD	TAD	NoTAD	TAD-NoTAD-NoTAD-TAD-TAD-NoTAD
14	chr16	   400000	 7	 0	 0	 0	 0	 0	TAD	NoTAD	NoTAD	NoTAD	NoTAD	NoTAD	TAD-NoTAD-NoTAD-NoTAD-NoTAD-NoTAD
15	chr11	   400000	 0	 5	 0	 3	10	 0	NoTAD	TAD	NoTAD	NoTAD	TAD	NoTAD	NoTAD-TAD-NoTAD-NoTAD-TAD-NoTAD
